names,style,url
Trader Jose's Dark Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/10707/40888/
Budweiser 1933 Repeal Reserve Amber Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/29/289889/
Hudepohl Amber Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/431/62327/
Mill Street 100th Meridian,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/3760/119690/
Short's Lil' Wheezy,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/9629/96648/
Preseason Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/1146/261225/
Straub American Amber,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/880/81025/
Rochester Mills Rochester Red,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/2346/7052/
Cypress Honey Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/780/11158/
Cold Brew Coffee Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/99/235896/
Ruby Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/7753/55134/
Dundee Irish Red Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/302/56521/
Kutztown Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/30902/119142/
Stegmaier Amber Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/150/47413/
Muddy Creek Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/14359/36100/
Samuel Adams Octoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/35/102/
Ayinger Oktober Fest-Märzen,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/39/1361/
Spaten Oktoberfestbier Ur-Märzen,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/142/582/
Paulaner Oktoberfest Bier,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/124/386/
Great Lakes Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/73/13896/
Festbier,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/345/1017/
Hacker-Pschorr Original Oktoberfest Amber Märzen,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/76/234/
Brooklyn Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/45/570/
Leinenkugel's Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/710/5757/
Weihenstephaner Festbier,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/252/6861/
Hofbräu Oktoberfestbier,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/4686/2011/
Left Hand Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/418/32410/
Harpoon Octoberfest Beer,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/98/313/
Shiner Märzen-Style Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/143/60642/
Bell's Octoberfest Beer,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/287/32695/
Staghorn Octoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/590/6075/
Hoss Oktoberfest Lager,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/158/51631/
Dogtoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/68/19651/
Goose Fest Bier,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/1146/1470/
SurlyFest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/13014/32620/
Yuengling Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/182/72310/
Beck's Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/32/83/
Gordon Biersch Märzen,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/1551/16254/
Oaktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/2210/45148/
Munsterfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/26/33236/
Warsteiner Premium Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/360/12451/
Bob's '47 Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/423/3321/
Summit Oktoberfest (Märzen Style),Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/467/1785/
Dead Ringer Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/199/131121/
Paulaner Oktoberfest Wiesn,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/124/61555/
Atom Smasher,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/689/61554/
Saint Arnold Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/337/1072/
Sierra Nevada Oktoberfest - Brauhaus Miltenberger Collaboration,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/140/292433/
Saranac Our Octoberfest German Style Lager,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/99/1522/
Schlafly Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/583/6746/
Copper Legend Octoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/26520/72867/
Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/22072/61979/
Oktober Fest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/394/25382/
Blue Point Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/764/6622/
OktoberFish,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/339/19765/
Berkshire Life On Märzen,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/33/6258/
Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/1853/20512/
Schell's Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/417/1568/
Narragansett Fest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/213/61577/
Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/368/986/
Oktoberfest Lager Beer,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/741/5758/
Barktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/12516/39118/
Highland Clawhammer Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/811/45109/
Dundee Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/302/43431/
Oktoberfest,Märzen / Oktoberfest,https://www.beeradvocate.com/beer/profile/144/997/
Samuel Adams Black Lager,Schwarzbier,https://www.beeradvocate.com/beer/profile/35/21300/
